Rank,Mark,Competitor,Date of birth,Nationality,Position in the competition,dummy,Place of the competition,Date,Result score,athlete_href
655,1:47.74,Pablo SOLARES,22 DEC 1984,MEX,2f3,,Vancouver (CAN),29 JUN 2013,1091,/athletes/athlete=14213300
655,1:47.74,Pierre BALHAN,21 OCT 1992,BEL,8,,Tampere (FIN),12 JUL 2013,1091,/athletes/athlete=14375469
655,1:47.74,Hamid OUALICH,26 APR 1988,FRA,2h1,,Paris (FRA),13 JUL 2013,1091,/athletes/athlete=14186873
660,1:47.75,Paul BRADSHAW,22 JAN 1988,GBR,3f3,,"Los Angeles, CA (USA)",17 MAY 2013,1091,/athletes/athlete=14188632
660,1:47.75,Salvador CRESPO,21 OCT 1983,ESP,9f1,,Huelva (ESP),12 JUN 2013,1091,/athletes/athlete=14166803
660,1:47.75,Geoff HARRIS,30 JAN 1987,CAN,1,,Moncton (CAN),23 JUN 2013,1091,/athletes/athlete=14174162
660,1:47.75,Azzine BOUDJEMA,17 SEP 1982,ALG,1,,La Roche-sur-Yon (FRA),24 JUL 2013,1091,/athletes/athlete=14180818
664,1:47.76,Jo-Wayne HIBBERT,01 AUG 1991,JAM,1,,Kingston (JAM),22 JUN 2013,1091,/athletes/athlete=14435010
664,1:47.76,Azzine BOUDJEMA,17 SEP 1982,ALG,7,,Mersin (TUR),29 JUN 2013,1091,/athletes/athlete=14180818
664,1:47.76,Pierre-Ambroise BOSSE,11 MAY 1992,FRA,2h2,,Tampere (FIN),11 JUL 2013,1091,/athletes/athlete=14370625
664,1:47.76,Shaquille DILL,04 SEP 1993,BER,3sf1,,"Central Stadium, Kazan (RUS)",11 JUL 2013,1091,/athletes/athlete=14375485
668,1:47.77,Jamal HAIRANE,26 MAY 1993,QAT,2,,Doha (QAT),16 APR 2013,1090,/athletes/athlete=14493471
668,1:47.77,Soresa FIDA,27 MAY 1993,ETH,5f1,,Bottrop (GER),19 JUL 2013,1090,/athletes/athlete=14428521
670,1:47.78,Harun ABDA,01 JAN 1990,USA,3h1,,"Eugene, OR (USA)",05 JUN 2013,1090,/athletes/athlete=14375113
670,1:47.78,Ilham Tanui ÖZBILEN,05 MAR 1990,TUR,1,,Ankara (TUR),25 AUG 2013,1090,/athletes/athlete=14330373
672,1:47.79,Andrés ARROYO,07 JUN 1995,PUR,1f1,,"Gainesville, FL (USA)",04 APR 2013,1090,/athletes/athlete=14519919
672,1:47.79,Jakub HOLUŠA,20 FEB 1988,CZE,4,,Beijing (CHN),21 MAY 2013,1090,/athletes/athlete=14168850
672,1:47.79,Rory GRAHAM-WATSON,03 JUN 1990,GBR,1f1,,Manchester (GBR),01 JUN 2013,1090,/athletes/athlete=14335772
672,1:47.79,Michael RIMMER,03 FEB 1986,GBR,1,,Birmingham (GBR),14 JUL 2013,1090,/athletes/athlete=14190598
676,1:47.80,Esrael AWOKE,05 APR 1994,ETH,1,,Addis Abeba (ETH),27 JUN 2013,1090,/athletes/athlete=14428743
676,1:47.80,Luke PAWLACZYK,22 JUN 1986,USA,4,,Victoria (CAN),05 JUL 2013,1090,/athletes/united-states/luke-pawlaczyk-014248103
676,1:47.80,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,1h8,,Moskva (RUS),24 JUL 2013,1090,/athletes/athlete=14221887
679,1:47.81,Yassine HETHAT,30 AUG 1991,ALG,6f1,,Fes (MAR),11 MAY 2013,1089,/athletes/athlete=14483503
679,1:47.81,Jozef PELIKÁN,29 JUL 1984,SVK,2f1,,Tábor (CZE),24 JUL 2013,1089,/athletes/athlete=14227119
679,1:47.81,Abderrahmane ANOU,29 JAN 1991,ALG,2,,La Roche-sur-Yon (FRA),24 JUL 2013,1089,/athletes/athlete=14428520
679,1:47.81,Konstantinos NAKOPOULOS,28 JUN 1987,GRE,1f2,,Thiva (GRE),24 JUL 2013,1089,/athletes/athlete=14195358
679,1:47.81,Nader BELHANBEL,01 JUL 1994,MAR,3,,Palembang (INA),26 SEP 2013,1089,/athletes/athlete=14479650
684,1:47.82,Masato YOKOTA,19 NOV 1987,JPN,6f1,,"Los Angeles, CA (USA)",17 MAY 2013,1089,/athletes/athlete=14206994
685,1:47.83,Sharif WEBB,09 JUN 1989,USA,2f1,,"Los Angeles, CA (USA)",06 APR 2013,1089,/athletes/athlete=14325743
685,1:47.83,Jean Pierre CAMPOS FERRUGEM,03 NOV 1987,BRA,2f1,,Mar del Plata (ARG),22 APR 2013,1089,/athletes/athlete=14329836
685,1:47.83,Jamal HAIRANE,26 MAY 1993,QAT,6,,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2013,1089,/athletes/athlete=14493471
685,1:47.83,Daniel ANDÚJAR,14 MAY 1994,ESP,2f1,,Bilbao (ESP),21 JUN 2013,1089,/athletes/athlete=14474617
685,1:47.83,Robin SCHEMBERA,01 OCT 1988,GER,12f2,,"Mestský Stadion, Ostrava (CZE)",27 JUN 2013,1089,/athletes/athlete=14194014
685,1:47.83,Yasuhiro NAKAMURA,25 MAY 1990,JPN,1,,Kitami (JPN),06 JUL 2013,1089,/athletes/athlete=14334329
685,1:47.83,Pierre BALHAN,21 OCT 1992,BEL,4f2,,Ninove (BEL),27 JUL 2013,1089,/athletes/athlete=14375469
685,1:47.83,Marcin LEWANDOWSKI,13 JUN 1987,POL,2h1,,"Luzhniki Stadion, Moskva (RUS)",10 AUG 2013,1089,/athletes/athlete=14217081
685,1:47.83,Sebastian KEINER,22 AUG 1989,GER,1,,Kassel (GER),23 AUG 2013,1089,/athletes/athlete=14192779
694,1:47.84,Ivan NESTEROV,10 FEB 1985,RUS,3,,Moskva (RUS),25 JUL 2013,1088,/athletes/athlete=14223336
694,1:47.84,Musaeb Abdulrahman BALLA,19 MAR 1989,QAT,1h3,,Nice (FRA),10 SEP 2013,1088,/athletes/athlete=14411825
696,1:47.85,Thomas Arne ROTH,11 FEB 1991,NOR,4f1,,Oordegem (BEL),01 JUN 2013,1088,/athletes/athlete=14364669
696,1:47.85,Azzine BOUDJEMA,17 SEP 1982,ALG,3h1,,Paris (FRA),13 JUL 2013,1088,/athletes/athlete=14180818
696,1:47.85,Prince MUMBA,28 AUG 1984,ZAM,5h4,,"Luzhniki Stadion, Moskva (RUS)",10 AUG 2013,1088,/athletes/athlete=14256437
699,1:47.86,Leoman MOMOH,30 MAR 1991,NGR,5,,"Eugene, OR (USA)",07 JUN 2013,1088,/athletes/athlete=14376875
699,1:47.86,Mukhtar MOHAMMED,01 DEC 1990,GBR,2,,Birmingham (GBR),14 JUL 2013,1088,/athletes/athlete=14422615
,,,,,,,,,,
699,1:47.86,Guy LEARMONTH,20 APR 1992,GBR,5f2,,Ninove (BEL),27 JUL 2013,1088,/athletes/athlete=14371845
702,1:47.87,Rynhardt VAN RENSBURG,23 MAR 1992,RSA,2,,Potchefstroom (RSA),19 MAR 2013,1088,/athletes/athlete=14409809
702,1:47.87,Alexander ROWE,08 JUL 1992,AUS,1,,"Albert Park, Melbourne (AUS)",06 APR 2013,1088,/athletes/athlete=14334659
702,1:47.87,Prince MUMBA,28 AUG 1984,ZAM,5f1,,"Palo Alto, CA (USA)",28 APR 2013,1088,/athletes/athlete=14256437
702,1:47.87,Mark HUSTED,04 JUN 1987,USA,4h3,,"Drake Stadium, Des Moines, IA (USA)",20 JUN 2013,1088,/athletes/athlete=14241441
702,1:47.87,Adil BRIAMI,23 JAN 1983,MAR,3f1,,Halluin (FRA),26 JUN 2013,1088,/athletes/athlete=14211905
702,1:47.87,Hamid OUALICH,26 APR 1988,FRA,1,,Paris (FRA),14 JUL 2013,1088,/athletes/athlete=14186873
708,1:47.88,Edwin KEMBOI,22 AUG 1986,KEN,6,,Nairobi (KEN),11 MAY 2013,1087,/athletes/athlete=14424965
708,1:47.88,Lance ROLLER,24 MAY 1990,USA,3,,Ponce (PUR),18 MAY 2013,1087,/athletes/athlete=14249958
710,1:47.89,Abraham TSEGAY,12 FEB 1996,ERI,2,,Warri (NGR),31 MAR 2013,1087,/athletes/athlete=14579451
710,1:47.89,Wesley VÁZQUEZ,27 MAR 1994,PUR,3f1,,Bilbao (ESP),21 JUN 2013,1087,/athletes/athlete=14435378
710,1:47.89,David TORRENCE,26 NOV 1985,USA,5f8,,Kortrijk (BEL),14 JUL 2013,1087,/athletes/athlete=14253359
713,1:47.90,Moses Kipkemboi KIBET,20 NOV 1994,KEN,5f1,,Oordegem (BEL),01 JUN 2013,1087,/athletes/athlete=14530665
713,1:47.90,Giordano BENEDETTI,22 MAY 1989,ITA,3h1,,"Luzhniki Stadion, Moskva (RUS)",10 AUG 2013,1087,/athletes/athlete=14199598
715,1:47.91,Jacob ROZANI,24 JAN 1984,RSA,3,,Stellenbosch (RSA),13 APR 2013,1086,/athletes/athlete=14515278
715,1:47.91,Stepan POISTOGOV,14 DEC 1986,RUS,1h6,,Moskva (RUS),24 JUL 2013,1086,/athletes/athlete=14223629
717,1:47.92,Felix KITUR,17 APR 1987,KEN,1f1,,"Los Angeles, CA (USA)",15 MAR 2013,1086,/athletes/athlete=14208592
717,1:47.92,Geoff HARRIS,30 JAN 1987,CAN,1,,"Tempe, AZ (USA)",06 APR 2013,1086,/athletes/athlete=14174162
717,1:47.92,Rynhardt VAN RENSBURG,23 MAR 1992,RSA,1,,Pretoria (RSA),06 APR 2013,1086,/athletes/athlete=14409809
717,1:47.92,Sean OBINWA,04 JAN 1991,USA,2,,"Columbia, SC (USA)",12 MAY 2013,1086,/athletes/athlete=14413189
717,1:47.92,Abraham Kipchirchir ROTICH,26 SEP 1993,BRN,8,,"Hayward Field, Eugene, OR (USA)",01 JUN 2013,1086,/athletes/athlete=14425914
717,1:47.92,Joe THOMAS,29 JAN 1988,GBR,13f2,,"Mestský Stadion, Ostrava (CZE)",27 JUN 2013,1086,/athletes/athlete=14190986
723,1:47.93,Anthony ROMANIW,15 SEP 1991,CAN,6f1,,"Palo Alto, CA (USA)",28 APR 2013,1086,/athletes/athlete=14362665
723,1:47.93,Diomar DE SOUZA,24 AUG 1989,BRA,4,,"Mangueirão, Belém (BRA)",12 MAY 2013,1086,/athletes/athlete=14327280
723,1:47.93,Nixon Kiplimo CHEPSEBA,12 DEC 1990,KEN,7,,"Blankers-Koen Stadion, Hengelo (NED)",08 JUN 2013,1086,/athletes/athlete=14377806
723,1:47.93,Florian ORTH,24 JUL 1989,GER,7f2,,Regensburg (GER),08 JUN 2013,1086,/athletes/athlete=14193588
723,1:47.93,Anthony ROMANIW,15 SEP 1991,CAN,1,,Halifax (CAN),09 JUN 2013,1086,/athletes/athlete=14362665
723,1:47.93,Francisco ROLDÁN,26 MAY 1990,ESP,10f1,,Huelva (ESP),12 JUN 2013,1086,/athletes/athlete=14374374
723,1:47.93,Declan MURRAY,04 JUN 1991,USA,3,,La Roche-sur-Yon (FRA),24 JUL 2013,1086,/athletes/athlete=14415018
723,1:47.93,Jozef REPČÍK,03 AUG 1986,SVK,8h5,,"Luzhniki Stadion, Moskva (RUS)",10 AUG 2013,1086,/athletes/athlete=14227157
723,1:47.93,Charlie DA'VALL GRICE,07 NOV 1993,GBR,1f1,,Eltham (GBR),14 AUG 2013,1086,/athletes/athlete=14379043
732,1:47.94,Jan KUBISTA,23 SEP 1990,CZE,1f1,,Turnov (CZE),28 MAY 2013,1086,/athletes/athlete=14381026
732,1:47.94,Kevin STADLER,03 APR 1993,GER,8f1,,Dessau (GER),31 MAY 2013,1086,/athletes/athlete=14390277
732,1:47.94,Jan VAN DEN BROECK,11 MAR 1989,BEL,6f1,,Oordegem (BEL),01 JUN 2013,1086,/athletes/athlete=14177251
735,1:47.95,Charles GRETHEN,02 JUN 1992,LUX,2f1,,"Gainesville, FL (USA)",05 APR 2013,1085,/athletes/athlete=14360841
735,1:47.95,Matthew CENTROWITZ,18 OCT 1989,USA,1f1,,"Eugene, OR (USA)",03 MAY 2013,1085,/athletes/athlete=14234521
735,1:47.95,Rory GRAHAM-WATSON,03 JUN 1990,GBR,4f1,,Halluin (FRA),26 JUN 2013,1085,/athletes/athlete=14335772
735,1:47.95,Khaled BENMAHDI,22 OCT 1988,ALG,2,,Paris (FRA),14 JUL 2013,1085,/athletes/athlete=14428436
735,1:47.95,Brandon JOHNSON,02 MAR 1985,USA,9,,"Letzigrund, Zürich (SUI)",29 AUG 2013,1085,/athletes/athlete=14242034
740,1:47.96,Brian GAGNON,08 MAY 1987,USA,2f1,,"Fairfax, VA (USA)",13 APR 2013,1085,/athletes/athlete=14238367
740,1:47.96,Chris BILBREW,19 JAN 1989,USA,1f1,,"San Marcos, TX (USA)",27 APR 2013,1085,/athletes/athlete=14232612
740,1:47.96,Andreas RAPATZ,05 SEP 1986,AUT,8f2,,Regensburg (GER),08 JUN 2013,1085,/athletes/athlete=14178246
740,1:47.96,Masato YOKOTA,19 NOV 1987,JPN,2,,Tokyo (JPN),09 JUN 2013,1085,/athletes/athlete=14206994
740,1:47.96,Vyacheslav SOKOLOV,15 DEC 1984,RUS,5f5,,Yerino (RUS),16 JUN 2013,1085,/athletes/athlete=14224106
740,1:47.96,Kevin GOBILLARD,09 APR 1985,FRA,8,,"Tomblaine, Nancy (FRA)",02 JUL 2013,1085,/athletes/athlete=14185050
740,1:47.96,Elijah GREER,24 OCT 1990,USA,1f1,,Liège (BEL),10 JUL 2013,1085,/athletes/athlete=14239332
740,1:47.96,Yassine HETHAT,30 AUG 1991,ALG,6f1,,Bottrop (GER),19 JUL 2013,1085,/athletes/athlete=14483503
740,1:47.96,Kevin LÓPEZ,12 JUN 1990,ESP,1,,Alcobendas (ESP),28 JUL 2013,1085,/athletes/athlete=14165935
740,1:47.96,Hamada MOHAMED,22 OCT 1992,EGY,4h1,,"Luzhniki Stadion, Moskva (RUS)",10 AUG 2013,1085,/athletes/athlete=14420664
740,1:47.96,James EICHBERGER,04 AUG 1990,MEX,6h4,,"Luzhniki Stadion, Moskva (RUS)",10 AUG 2013,1085,/athletes/athlete=14362681
751,1:47.97,Pierre BALHAN,21 OCT 1992,BEL,1h1,,Tampere (FIN),11 JUL 2013,1085,/athletes/athlete=14375469
752,1:47.98,Sharif WEBB,09 JUN 1989,USA,6,,"Walnut, CA (USA)",20 APR 2013,1084,/athletes/athlete=14325743
752,1:47.98,Sean OBINWA,04 JAN 1991,USA,2f2,,"Greensboro, NC (USA)",24 MAY 2013,1084,/athletes/athlete=14413189
752,1:47.98,Khaled BENMAHDI,22 OCT 1988,ALG,1f1,,St-Etienne (FRA),22 JUN 2013,1084,/athletes/athlete=14428436
752,1:47.98,Andreas LANGE,29 JAN 1991,GER,2h1,,Tampere (FIN),11 JUL 2013,1084,/athletes/athlete=14940921
752,1:47.98,Anthony ROMANIW,15 SEP 1991,CAN,5h6,,"Luzhniki Stadion, Moskva (RUS)",10 AUG 2013,1084,/athletes/athlete=14362665
757,1:47.99,Jared WEST,14 JUL 1988,AUS,2h2,,Sydney (AUS),11 APR 2013,1084,/athletes/athlete=14178584
757,1:47.99,Hamid OUALICH,26 APR 1988,FRA,2,,Torino (ITA),08 JUN 2013,1084,/athletes/athlete=14186873
757,1:47.99,Oleh KAYAFA,04 APR 1989,UKR,1,,Joensuu (FIN),09 JUN 2013,1084,/athletes/athlete=14230055
757,1:47.99,Sofiane SELMOUNI,22 SEP 1989,FRA,2f1,,Schifflange (LUX),04 AUG 2013,1084,/athletes/athlete=14376584
757,1:47.99,Jan KUBISTA,23 SEP 1990,CZE,1f1,,Nové Město nad Metují (CZE),08 SEP 2013,1084,/athletes/athlete=14381026
762,1:48.00,Lutimar PAES,14 DEC 1988,BRA,5,,"Mangueirão, Belém (BRA)",12 MAY 2013,1084,/athletes/athlete=14176297
762,1:48.00,Rabii DOUKKANA,06 DEC 1987,FRA,1f1,,Nogent-sur-Marne (FRA),16 JUN 2013,1084,/athletes/athlete=14211998
762,1:48.00,Benjamin HERRIAU,17 FEB 1992,FRA,2f1,,Nogent-sur-Marne (FRA),16 JUN 2013,1084,/athletes/athlete=14330040
762,1:48.00,Fekadu DEJENE,29 DEC 1992,ETH,3f1,,Nogent-sur-Marne (FRA),16 JUN 2013,1084,/athletes/athlete=14360646
762,1:48.00,Abdelslam KENNOUCHE,07 OCT 1980,FRA,4f1,,Nogent-sur-Marne (FRA),16 JUN 2013,1084,/athletes/athlete=14180719
762,1:48.00,Nicholas Kiplangat KIPKOECH,22 OCT 1992,KEN,14f2,,"Mestský Stadion, Ostrava (CZE)",27 JUN 2013,1084,/athletes/athlete=14375473
762,1:48.00,Nijel AMOS,15 MAR 1994,BOT,1sf3,,"Central Stadium, Kazan (RUS)",11 JUL 2013,1084,/athletes/athlete=14426466
769,1:48.01,Richard JONES,15 JUL 1988,USA,3f2,,"Los Angeles, CA (USA)",17 MAY 2013,1083,/athletes/athlete=14242425
769,1:48.01,John CROSSLEY,,USA,1,,"Greensboro, NC (USA)",15 JUN 2013,1083,/athletes/athlete=14538755
769,1:48.01,Alfred KIPKETER,28 DEC 1996,KEN,1,,Donetsk (UKR),13 JUL 2013,1083,/athletes/athlete=14590702
769,1:48.01,Yeimer LÓPEZ,28 AUG 1982,CUB,2f1,,København (DEN),01 AUG 2013,1083,/athletes/athlete=14169468
769,1:48.01,Jake WIGHTMAN,11 JUL 1994,GBR,1f1,,Stretford (GBR),06 AUG 2013,1083,/athletes/athlete=14522654
769,1:48.01,Jozef REPČÍK,03 AUG 1986,SVK,4,,Nice (FRA),11 SEP 2013,1083,/athletes/athlete=14227157
775,1:48.02,Declan MURRAY,04 JUN 1991,USA,3f1,,"Gainesville, FL (USA)",05 APR 2013,1083,/athletes/athlete=14415018
775,1:48.02,Prince MUMBA,28 AUG 1984,ZAM,4f2,,"Los Angeles, CA (USA)",17 MAY 2013,1083,/athletes/athlete=14256437
775,1:48.02,Leonard Kirwa KOSENCHA,21 AUG 1994,KEN,9,,"Hayward Field, Eugene, OR (USA)",01 JUN 2013,1083,/athletes/athlete=14479206
775,1:48.02,Declan MURRAY,04 JUN 1991,USA,6,,"Eugene, OR (USA)",07 JUN 2013,1083,/athletes/athlete=14415018
775,1:48.02,Taras BYBYK,27 MAR 1992,UKR,1f1,,Besancon (FRA),15 JUN 2013,1083,/athletes/athlete=14385909
775,1:48.02,Leonard Kirwa KOSENCHA,21 AUG 1994,KEN,2,,Amsterdam (NED),31 AUG 2013,1083,/athletes/athlete=14479206
781,1:48.03,Haining TENG,25 JUN 1993,CHN,5,,Beijing (CHN),21 MAY 2013,1083,/athletes/athlete=14483949
781,1:48.03,Brannon KIDDER,18 NOV 1993,USA,3f2,,"Greensboro, NC (USA)",24 MAY 2013,1083,/athletes/athlete=14477011
781,1:48.03,Leoman MOMOH,30 MAR 1991,NGR,1f2,,"Austin, TX (USA)",24 MAY 2013,1083,/athletes/athlete=14376875
781,1:48.03,Sharif WEBB,09 JUN 1989,USA,3f3,,Vancouver (CAN),29 JUN 2013,1083,/athletes/athlete=14325743
781,1:48.03,Jonathan KITILIT,24 APR 1994,KEN,2,,Réduit (MRI),01 SEP 2013,1083,/athletes/athlete=14530666
781,1:48.03,Roiman RAMIREZ,15 JAN 1988,VEN,3,,Trujillo (PER),28 NOV 2013,1083,/athletes/venezuela/roiman-ramirez-014497039
787,1:48.04,Drew WINDLE,22 JUL 1992,USA,1,,"Ashland, OH (USA)",03 MAY 2013,1083,/athletes/athlete=14483584
787,1:48.04,Yevgeniy SHARMIN,20 MAR 1986,RUS,6f5,,Yerino (RUS),16 JUN 2013,1083,/athletes/athlete=14223911
787,1:48.04,Tyler MULDER,15 FEB 1987,USA,1h2,,"Drake Stadium, Des Moines, IA (USA)",20 JUN 2013,1083,/athletes/athlete=14246784
787,1:48.04,Ivan NESTEROV,10 FEB 1985,RUS,2sf3,,"Central Stadium, Kazan (RUS)",11 JUL 2013,1083,/athletes/athlete=14223336
791,1:48.05,Charles GRETHEN,02 JUN 1992,LUX,3,,"Columbia, SC (USA)",12 MAY 2013,1082,/athletes/athlete=14360841
791,1:48.05,Llorenç SALES,14 JUL 1988,ESP,3,,Mataró (ESP),03 JUL 2013,1082,/athletes/athlete=14360591
791,1:48.05,Paul ROBINSON,24 MAY 1991,IRL,7,,Padova (ITA),01 SEP 2013,1082,/athletes/athlete=14373652
794,1:48.06,Reuben BETT,06 NOV 1984,KEN,3,,Amsterdam (NED),31 AUG 2013,1082,/athletes/athlete=14207373
795,1:48.07,Eliud Kipngetich RUTTO,13 MAR 1994,KEN,7,,"Eugene, OR (USA)",07 JUN 2013,1082,/athletes/athlete=14568473
795,1:48.07,Selasi LUMAX,01 AUG 1990,GHA,2f4,,"New York, NY (USA)",11 JUN 2013,1082,/athletes/athlete=14363263
795,1:48.07,Mark WIECZOREK,25 DEC 1984,USA,2f1,,Liège (BEL),10 JUL 2013,1082,/athletes/athlete=14254842
795,1:48.07,Ali BEN EL HADJ,18 JAN 1990,TUN,6f2,,Ninove (BEL),27 JUL 2013,1082,/athletes/tunisia/ali-ben-el-hadj-014379261
799,1:48.08,Benedikt HUBER,13 OCT 1989,GER,9f2,,Regensburg (GER),08 JUN 2013,1081,/athletes/athlete=14390357
799,1:48.08,Jena UMAR,24 DEC 1995,ETH,2,,Addis Abeba (ETH),27 JUN 2013,1081,/athletes/athlete=14534837
,,,,,,,,,,
801,1:48.09,Ricardo CUNNINGHAM,20 APR 1982,JAM,2,,Kingston (JAM),22 JUN 2013,1081,/athletes/athlete=14201929
801,1:48.09,Giordano BENEDETTI,22 MAY 1989,ITA,5,,"International Stadium, Gateshead (GBR)",23 JUN 2013,1081,/athletes/athlete=14199598
801,1:48.09,Jamaa EL HIOUAL,,MAR,7,,Casablanca (MAR),06 JUL 2013,1081,/athletes/morocco/jamaa-el-hioual-014548938
801,1:48.09,Lucirio GARRIDO,08 APR 1992,VEN,1,,Barinas (VEN),12 OCT 2013,1081,/athletes/athlete=14256103
805,1:48.10,Patrick PETERSON,26 AUG 1992,USA,1f4,,"Easton, PA (USA)",11 MAY 2013,1081,/athletes/athlete=14453704
805,1:48.10,Fouad EL KAAM,27 MAY 1988,MAR,1,,Algiers (ALG),18 JUN 2013,1081,/athletes/athlete=14212107
805,1:48.10,Patrick SCHOENBALL,26 JUN 1989,GER,5f2,,Heusden-Zolder (BEL),13 JUL 2013,1081,/athletes/athlete=14194123
805,1:48.10,Paul RENAUDIE,02 APR 1990,FRA,3,,Paris (FRA),14 JUL 2013,1081,/athletes/athlete=14334302
805,1:48.10,Mitja KREVS,26 JUL 1989,SLO,6,,Lignano Sabbiadoro (ITA),16 JUL 2013,1081,/athletes/athlete=14371717
810,1:48.11,Gareth WARBURTON,23 APR 1983,GBR,4,,Tokyo (JPN),05 MAY 2013,1081,/athletes/athlete=14191138
811,1:48.12,Tetlo EMMEN,24 JAN 1984,USA,7,,"Walnut, CA (USA)",20 APR 2013,1080,/athletes/athlete=14237271
811,1:48.12,Jackson Mumbwa KIVUVA,11 AUG 1989,KEN,8,,"Blankers-Koen Stadion, Hengelo (NED)",08 JUN 2013,1080,/athletes/athlete=14208600
811,1:48.12,Nikolaus FRANZMAIR,18 FEB 1995,AUT,4,,Salzburg (AUT),15 JUN 2013,1080,/athletes/athlete=14425531
811,1:48.12,Victor CORRALES VAQUERO,12 MAR 1989,ESP,1f2,,"Moratalaz, Madrid (ESP)",13 JUL 2013,1080,/athletes/athlete=14166816
811,1:48.12,Bartosz NOWICKI,26 FEB 1984,POL,3f1,,Schifflange (LUX),04 AUG 2013,1080,/athletes/athlete=14217274
816,1:48.13,Anthony KOSTELAC,04 JUL 1991,USA,2,,"Charlottesville, VA (USA)",11 MAY 2013,1080,/athletes/athlete=14403922
816,1:48.13,Lance ROLLER,24 MAY 1990,USA,5h3,,"Drake Stadium, Des Moines, IA (USA)",20 JUN 2013,1080,/athletes/athlete=14249958
818,1:48.14,Lutimar PAES,14 DEC 1988,BRA,1f1,,Campinas (BRA),27 APR 2013,1080,/athletes/athlete=14176297
818,1:48.14,William LEDDER,26 JUN 1992,USA,3,,"Charlottesville, VA (USA)",11 MAY 2013,1080,/athletes/athlete=14362534
818,1:48.14,Oliver AITCHISON,13 MAR 1992,GBR,2f1,,Manchester (GBR),01 JUN 2013,1080,/athletes/athlete=14473010
821,1:48.15,Boaz Kiplagat LALANG,08 FEB 1989,KEN,9,,"Blankers-Koen Stadion, Hengelo (NED)",08 JUN 2013,1079,/athletes/athlete=14208839
821,1:48.15,Konstantinos NAKOPOULOS,28 JUN 1987,GRE,3,,Torino (ITA),08 JUN 2013,1079,/athletes/athlete=14195358
821,1:48.15,Artur KUCIAPSKI,26 DEC 1993,POL,8,,Szczecin (POL),15 JUN 2013,1079,/athletes/athlete=14403520
821,1:48.15,Giordano BENEDETTI,22 MAY 1989,ITA,7f2,,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2013,1079,/athletes/athlete=14199598
825,1:48.16,Jamaal JAMES,04 SEP 1988,TTO,3f4,,"New York, NY (USA)",11 JUN 2013,1079,/athletes/athlete=14229022
825,1:48.16,Samir JAMMA,09 FEB 1990,MAR,10,,"Olympiastadion, Berlin (GER)",01 SEP 2013,1079,/athletes/athlete=14442036
827,1:48.17,Rynhardt VAN RENSBURG,23 MAR 1992,RSA,1,,Johannesburg (RSA),22 APR 2013,1079,/athletes/athlete=14409809
827,1:48.17,Anderson TELES DA SILVA,14 MAR 1985,BRA,3,,São Paulo (BRA),19 MAY 2013,1079,/athletes/athlete=14366029
827,1:48.17,Diego Chargal MARTINS DINIZ,19 APR 1985,BRA,2,,Cartagena de Indias (COL),07 JUL 2013,1079,/athletes/athlete=14175484
827,1:48.17,Miroslav BURIAN,09 AUG 1992,CZE,3f1,,Tábor (CZE),24 JUL 2013,1079,/athletes/athlete=14169046
831,1:48.18,Lutimar PAES,14 DEC 1988,BRA,2f1,,São Paulo (BRA),27 MAR 2013,1078,/athletes/athlete=14176297
831,1:48.18,Musaeb Abdulrahman BALLA,19 MAR 1989,QAT,1,,Doha (QAT),09 APR 2013,1078,/athletes/athlete=14411825
831,1:48.18,Robby ANDREWS,29 MAR 1991,USA,1f1,,"Princeton, NJ (USA)",19 APR 2013,1078,/athletes/athlete=14231426
831,1:48.18,Joe ABBOTT,01 MAR 1990,USA,2f1,,"Eugene, OR (USA)",03 MAY 2013,1078,/athletes/athlete=14368275
831,1:48.18,Hosea KANDIE,1985,KEN,7,,Nairobi (KEN),11 MAY 2013,1078,/athletes/athlete=14207821
831,1:48.18,Harun ABDA,01 JAN 1990,USA,1f1,,"Austin, TX (USA)",24 MAY 2013,1078,/athletes/athlete=14375113
837,1:48.19,Geoff HARRIS,30 JAN 1987,CAN,2,,Halifax (CAN),09 JUN 2013,1078,/athletes/athlete=14174162
837,1:48.19,Thomas Arne ROTH,11 FEB 1991,NOR,1f1,,Oslo (NOR),29 JUL 2013,1078,/athletes/athlete=14364669
839,1:48.20,Sho KAWAMOTO,01 MAR 1993,JPN,1f2,,Fukuroi (JPN),03 MAY 2013,1078,/athletes/athlete=14388853
839,1:48.20,Pavel TEBENKOV,27 DEC 1991,RUS,h9,,Cheboksary (RUS),24 JUN 2013,1078,/athletes/athlete=14410760
839,1:48.20,Danil STRELNIKOV,03 MAY 1992,RUS,3h1,,Tampere (FIN),11 JUL 2013,1078,/athletes/athlete=14442476
839,1:48.20,David TORRENCE,26 NOV 1985,USA,8,,Padova (ITA),01 SEP 2013,1078,/athletes/athlete=14253359
843,1:48.21,Ryan MARTIN,28 MAR 1989,USA,8,,"Walnut, CA (USA)",20 APR 2013,1078,/athletes/athlete=14368029
843,1:48.21,Geoff HARRIS,30 JAN 1987,CAN,7f1,,"Los Angeles, CA (USA)",17 MAY 2013,1078,/athletes/athlete=14174162
843,1:48.21,Ivan TUKHTACHEV,12 JUL 1989,RUS,1,,Sochi (RUS),26 MAY 2013,1078,/athletes/athlete=14224334
